ID, TWEET, LABEL
1830,"يا رب شفاك لمن مسّه الضر و لمن ضمه التراب.",sympathy
1831,"انا اول مره اشوف حد من المنصوره وحش وكمان ضيف رغاي اووي يعني",anger
1832,"ايوه ايوه هم راحوا الاوليمبياد باجتهادات شخصيه يعني دفعوا الطيران وعملوا الاجراءات واتدربوا في فسحه بيتهم ايه ياجماعه بتناقشوا ايه",none
1833,"رساله من قلبي لاهلي في الموصل هي و فلسطين و بورما و مصر وجميع بلاد المسلمين  رب يا قوي…",sympathy
1834,"سباح 🏊حصل علي مركز 47 في الاوليمبياد من بين 47 متسابق 😄 الحمد لله انه مغرقش  ملطوشه",none
1835,"هذا اللي كان خايف منه مدربهم",fear
1836,". احسنوا لمن تحبون فالشوق بعد الموت لا يطاق ..",love
1837,"ماما ممكن تفكر تبعتني الاوليمبياد لمجرد ان في ناس كتير بتتجوز هناك اهو",none
1838,"يوم لفاني الضيق سمّوني القطوع وانا خايف يفيض دمعي لا حكيت..",fear
1839,"ghamri:   teni   alhaaaaarbi    من ايد الثوره علي الخليفه عثمان او سكت عن من ايدها هم سلاله قتلته واصل الخوارج ومنهم خ…",anger
1840,"~ اي اكثر شخصيه المفروض تموت فيرغسون الزباله مصختها وحتي حقدها علي سميث مو منطقي مدري هالسيزن خربو الحبكه العقلانيه شوي",anger
1841,"شعب متعاطف عفوا وليس اغبياء ،،،!",sympathy
1842,"انا متوقع لمصر 3 ميداليات ف الاوليمبياد وكان الله بالسر عليم :D",none
1843,"دخلوا بس الاسكواش في الاوليمبياد واحنا هنخربهاااا",none
1844,"pr اصل افنان بردواا محاميه و ليها وضعها ف الدوله :D .",joy
1845,"هو ان تعطي احدهم القدره علي تدميرك.. وانت تثق بانه لن يفعل.  كلام ذوالفقار",love
1846,"بنام عشان اشوفهم في الحلم و بردو مش بحلم بيهم 😔 💔",sadness
1847,"قطر داخله الاوليمبياد ب 25 رياضي😂😂😂😂😂😂",none
1848,": يعني انتو مفتكرتوش ان التعليم بايظ غير لما زويل مات!",anger
1849,"رجاء للاخوه المرتبطين بطلوا محن شويه علي الفيس علشان احنا مش طايقين العيشه كده لوحدها     ارحمونا",sadness
1850,"اللي ميخافش من ربنا .. خاف منه",fear
1851,"هي الاوليمبياد السنه دي اشبه بمعكسر المنوفيه اللي كنت فيه كده ليه 😂😂😂",surprise
1852,"خايف اقولها اخسرك .",fear
1853,"مصر والعالم كله يودع ببالغ الحزن والاسي العملاق  الساحر  رافت الهجان  محمود عبدالعزيز رحمه الله انَّا…",sympathy
1854,"لو بابا وماما بيشجعوني نص تشجعيهم للبعثه بتاعتنا فِ الاوليمبياد مكنش ده بقي حالي 😂😂😂",none
1855,"اعمل ما بدالك...",anger
1856,"zorro   9   ياكلب حط يوزري زين",anger
1857,"ايه الدوري ده  احنا متخلفين عنهم ب 100 سنه ضوئيه ???????? كل الماتشات احلي من بعض وماتفهمش مين هيكسب مين ولا ازاي ???????? انه البريميرليج ????????????",surprise
1858,": مئات الالاف من الالغام تتهدد مستقبل اليمنيين وتنذر بعديد الضحايا .  مليشيات الامم المتحده تقتل تعز  United kill Taiz ht…",anger
1859,"الف مبروك لفهد و للكويت بس ليه ما رفعوش علم الكويت و رفعوا علم الاوليمبياد",joy
1860,"طول ما انتي جنبي بلقيكي وش السعد عليا حبيبه قلبي ????❤",love
1861,": تتصل بشخص يدعي بانه محامي الدعاه الذين اعدمتهم  ايران ويقول بانهم يستحقون الاعدام  محامي يتهم‼️  حمله البصق علي BBC",anger
1862,"اللي بيحب الالعاب الاوليمبيه .. في برنامج تعريفي رائع عن الالعاب الاوليمبيه علي ابوظبي الرياضيه .. جدد معلوماتك عن الاوليمبياد لانه قرب",none
1863,"الجيش الامريكي في الاوليمبياد 😂😂😂  OlympicGames",joy
1864,"elbasiony انا خايفه بس يكون في حاجه تانيه في نفس المكان او حواليه و منفجرتش لسه!!!",fear
1865,": لا يكفي ان تُحب .. بل يجب ان تعرف كيف تُحب !",love
1866,": اذا كان هذا هو حال فكيف هو حال سكانها ؟؟؟  اللهم الطف بهم، وعجل بفرجهم",sympathy
1867,"خلصت الجزء الاول كميه مشاعر ودموع بالحلقه الاخيره هالحقير ياريت ماسامحو بس تاثرت جدا جدا وقت سامحو",sympathy
1868,":   لا تبحثوا كثيراً عن الفاعل فهو من تقاعس عن كسرحصار حلب ومن خرج من جيش الفتح ومن اشتهر بالاغتيالات وببيع…",anger
1869,"تراقب شخص لانك تحبه بدون مايدري ومهما صار بينكم عجزت تنساه وتمثل له انك مو مهتم ، ترا هي اصدق مشاعر الحب لكنها توجع بحجم صدقها.",love
1870,"حالتي بنص الليل وحيد وبعيد عن العالم اعيش ذكرياتي لوحدي فوق سريري لا اعلم ماذا اكتب او لمن اكتب كلهم هجروني لانه…",sadness
1871,"يوحشني كلامك واجبر الشوق بالصمت وعمر صمتي ما كان معناه اني نسـيتك  شوق  ذوق",sadness
1872,"كان بعض الناس في زينه فريد انت في خلقتك جملت الجمال♡  مشاعر حبي تقول",love
1873,": لو روحت الاهلي يا محمد يا ابراهيم ابقي سلم علي اينو و صبري و طارق السعيد و محمد صديق  يوصل ان شاء الله",joy
1874,"هي الاوليمبياد الجايه 2020 فين؟  Rio2016",none
1875,"النمسا داخله الاوليمبياد بنفرين",none
1876,"من اكبر اخطائنا اننا نمر علي لحظات الفرح مرورًا عابرًا، ونعيش الحزن بكل مشاعرنا...",sadness
1877,"كره طائره.. مصر تخسر اولي مبارياتها امام بولندا في المجموعه الثانيه في الاوليمبياد 3 0  يلا ريو ، واصابه احمد قطب نجم المنتخب في المباراه",none
1878,"United  imrn2 شكرا علي تفهمك",love
1879,"الي يلبسون عدسات شلون يتحملووووون؟؟قسم بالله روحي طلعت رعععععب💔",fear
1880,"هو انا مش عارف كوبر حاطط الخطه ازاي بس قشطه طالما احنا فايزين",surprise
1881,"ريتك معايا تطوفي  وسط البشر والزحام  وتشوفي حيرتي وخوفي  عليكي من دي الالام",fear
1882,"انا تابعت كل العاب الاوليمبياد الدوره دي ولسه مشوفتش عروض الباليه المائي 😢",sadness
1883,"احنا رايحين الاوليمبياد نتنافس بنزاهه و نبعد الضغينه بين الدول و ننشر السلام في العالم.. بس مش هنلاعب اسرائيل علشان ولاد وسخه.",anger
1884,"دايما عندي خوف من الناس وخصوصا المقربين مني بحس باي لحظه ممكن اخسرهم",fear
1885,"لما نصعد ان شاء الله، نخرج من الدور اﻷول من غير منجيب اهداف!!!",surprise
1886,"علي المصرييييين وجمالهم ربنا يحميهم  MinaAtta",joy
1887,"خايفه بعد اسبوع اصير ماقدر حتي اوقف من السمنه",fear
1888,"والصومال والان توجههم ل ليبيا لان النفط فيها وافر ودوله غنيه وسوف تنهب خيرات هذا البلد وبعدها دوله اخري ؟ من ستكون؟",anger
1889,"Brk اين انتم من حلب الا شاهت وجوهكم",anger
1890,"المؤلم اننا نكتب لمن لا يقرا.  نوويس  خيبه  حقيقه",sadness
1891,"دول كتير اوي ودمهم خفيف العماره اللي انا فيها كلها سوريين والاطفال عسل",joy
1892,": مُش معقول انا ايدي لامسه ايديك .. خايف اكون يا حبيبي بحلم بيك.",fear
1893,"للامانه خايفه😂💔",fear
1894,"كمان كام يوم الاوليمبياد تخلص وتظهر حاجه جديده للهري .. تويتر دا محتاج واحد زي نجيب محفوظ يكتب يومياته عليه.. يضغط الوقت ويفرده بحرفنه نجيب",none
1895,"يقعدوا يقولولك انت مش نافع و مش هتنجح  و مع اول نجاح يروحوا قدام الناس يقولوا  ان ليهم حظ الاسد في نجاحك .. يا اخي احا!",anger
1896,": يا ابطال  القطيف لا تهنوا ولا تحزنوا وانتم الاعلون نحن معكم وسنبقي ندافع عن مظلوميتكم حتي يمن الله علينا باحدي الحسنيين  انقذ…",sympathy
1897,"اي تغيير بيحصل بينزل علي موقع الاوليمبياد ومافيش حاجه اتغيرت علي الموقع لحد دلوقتي",none
1898,"البرازيل بتلاعب جنوب افريقيا في الاوليمبياد واضح اني مش هذاكر في السمر",none
1899,": لحظات مؤثره لانقاذ طفل من تحت الركام في .. لا نقول سوي  حسبنا الله ونعم الوكيل",sympathy
1900,"اشرق وكان الكون كله لك 💕💕 صباح السعاده متطوعينا 😊😊  متطوعو الاردن  تطوع  سعاده  عطاء  اطفال متطوعو الاردن...",love
1901,"من يعمل لِمصلحه الوطن والمواطن يستحق ان يُذكر و يُشكر كُل عمل يقوم به ومن لايشكر الناس لايشكر الله ..  شكرا وزير الزراعه السعودي",joy
1902,"هههههه !! هو فيه كده يا عالم ؟!!!",surprise
1903,"وحلفتُ اني لن احنّ اليه ، واليوم جئتُ مُكَفِّراً مُستغفرا .  خواطر",love
1904,"مع الاسف يابونواف..حتي انت اللي كنا نقول انك من عقلاء الاعلام. انجرفت مع المحتقنين. اين انت من هدف نجران في النصر الذي الغي",sadness
1905,"نلعب ونسلم عليه، الاوليمبياد مش ساحه سياسيه.",none
1906,": مالي اري في اعين الناس عيناهُ ؟  ادبيات  مالي اري  شعر فصيح  ادب عربي  اقتباسات  مقتطفات شعريه",love
1907,"نهيص مع الاوليمبياد بقا و احسن حاجه في تنظيمها في البرازيل هي ان توقيت معظم المنافسات بعيده عن وقت الشغل",joy
1908,":       خايفه من كلمتك يومته 😭",fear
1909,"مريم حضرت حفلتك غيرانه منك من حبنا لك تبغانا نكرهك  كلنا ضد مريم بيفور65   كلنا ضد مريم بيفور66",anger
1910,": •  الحُب ان احتاجكِ فاجدكِ بجواري، ان اتالم فاشعر بيدك علي كتفي، ان اسمع سؤالك عن سبب المي قبْل الاخَرين.! •  كتابات يوسف  كوب…",love
1911,"متضامن مع نائب الشعب المحترم هيثم الحريري Haitham Elhariri",sympathy
1912,"altoaimi:   sdeer     hushan             ويسعدكم اجمعين امين يارب",joy
1913,"يعني علي سبيل المثال هاشتاق الصرخي ! سويتون الضابط محمود مرجع وشيعي وعربي واصيل ؟وهو هارب من العراق اصلا",anger
1914,"daly   دفعت هذا المبلغ لايران ولكنها ستبيع بضعفه الف مره اسلحهلدول الخليج التي ستتصور من هذه الخدعهان ايران تخيف حتي امريكا",anger
1915,". عفوا. انا ايضا تخيلت في البدايه انها من الاوليمبياد ثم لفت نظري انها غير متداوله في الفضائيات الرياضيه فبحثت عن اصلها.",none
1916,"ليه كل اما اقول لحد اني كنت مع      محمد امام و غاده عبد الرازق      ف نفس المكان و مكلفتش نفسي حتي اقوم م ع الكرسي اشوفهم م قريب اتشتم !????",anger
1917,"خايفه تجيب اختي ولدها قبل يرجعون اهلي..",fear
1918,"رحم الله الدكتور  احمد زويل فقد انقذه الله من الاحتراق بنار السياسه في بلده حينما رشح للانتخابات الرئاسيه بها بعيد اقصاء مبارك عنها.",sadness
1919,"وضع البرازيل غير مؤهل لاستضافه الاوليمبياد ، يارب تعدي علي خير",fear
1920,"كلنا هنشيل لا استثني احد",surprise
1921,": الظاهر اني ابتديت وعلي حبك غديت  شعر  الرياض",love
1922,"هي جنات ده كائن بشري زينا ولا ملاك نازل من السما ???? يخربيت حلاوتك ????",love
1923,"ff2f2ff :   اللهم اشفِ كل جسد يضج به الوجع وكل روح تعج بها انفاس الالم ربي اشفِ جميع شفاءً لا يغادر سقما .",sympathy
1924,"اللهم انااعيننا وقلوبنا تعبت من صور اطفال سوريا يارب فرج همهم ويسر امرهم وسخر لهم الخلق ياكريم",sympathy
1925,": الجيش الحر يقبض علي داعشي وهو مصاب يدخن ويقول امراء داعش بتحشش ؟",anger
1926,"الحمدلله علي حياه يدبرها الله وفق رحمته...",joy
1927,"الدول كلها رايحه تجيب ميداليات دهب ف الاوليمبياد ومصر اكبر بعثه تقريبا ف البطوله مع الصين ومش عارفين نجيب الا ميداليتين برونز    حسبي الله 😏",anger
1928,"انشاءالله  الزمالك هيفرحنا انهرده ويعوضنا عن حرقه الدم بتاع الاوليمبياد ده ❤",none
1929,"اكثر موضوع يحزن واكثر موضوع موجع في هالحياه مجهول الابوين مساله انك ماتعرف من انت ومن امك وابوك مؤلمه مره 💔 كان الل…",sympathy
1930,"وتعيش يا جيش بلادي",joy
1931,": ياريت يا جماعه حد يمنشن الاجهزه المعنيه عن الكلب ده والصفحه القذره دي ليل نهار تهزيق في مصر وفي الريس  جبهه شعب مصر",anger
1932,"من سخريه القدر ان الميداليتين اللي جابهم مصريين في الاوليمبياد سيدات و رجال يكونو في اكتر رياضه مصر بتدرب الشعب عليها",surprise
1933,"الله يسامحك مابي ادعي بلحظه غضب ..",anger
1934,"بحب اوي اشوف العرب بيكسبوا في الاوليمبياد او الدوري الماسي او بطوله العالم ..",joy
1935,"فعلا يبقا ف ثوره ويبقا دا هدوء ما قبل العاصفه ؟؟ظظظ",surprise
1936,"يا جماعه في مواطن مصري كان مسجون ف المانيا السلطات الالمانيه حرقت جثمانه هو عادي كدا ولا ايه النظام",anger
1937,"نبتعد ف نشتاق ، نقترب ف نُكابر ، تباً لِـ  الحُبّ .!",love
1938,"انا خايفه و مرعوبه عشان كل ما بحس ان مفيش سواد اكتر من كده بتضلم اكتر",fear
1939,"فجاه كلهم عندهم OSN 🙂😂",surprise
1940,"الاوليمبياد عمومًا بتبدا منافساتها من الصبح بدري جدًا اللي هو بيوازي وقت الظهر عندنا",none
1941,": الناس اللي معترضه علي فرحتنا بال6 بونت النهارده معترضين علي ايه !!!!!!! دا اكبر دليل ان ولا الناس ولا البلد فارقه معاكم",surprise
1942,"لا ده هو بيحبها وعايز يكمل وكل شويه يجي يقولي انا هوصل الاوليمبياد اللي جايه ان شا الله😂",none
1943,"غدا نحتفل بتحرير مكيراس وبعد غدا بيحان ان شاء الله يا باش مهندس النصر حليفنا عاش الجنوب حرا ابيا شامخا",joy
1944,"في سباق في الاوليمبياد اسمه cross country حاجه كدا فشيخه. .!  Rio2016",none
1945,"خايف تروح وغيري يخونك ، مابيها تتضايق عيونك وانا يمّك همي همك .. ياكل الحياه",fear
1946,"شفتـهِ في هوي غيري ، سعيد ابتسمت من الحزن غصب عني .  فراق",sadness
1947,"خايفه اقوله عن شعوري واخسره 😩❤️",fear
1948,"t232 يالطيييف هذا اللي كنت خايفه منه اني اتخون 😭😂",fear
1949,"salyy: كاني مت ، وكاني قتلت نفسي بنفسي",sadness
1950,"كره القدم النسائيه بتطور بشكل كبير جدا المستوي الفني في الاوليمبياد عالي جدا والاداء ممتع  Rio2016",joy
1951,"ﻛﻞ ﻣﺎ ﺍﺷﻮﻓﻚ ﺍﻗﻮﻝ ﻻ ﻣﺶ ﻣﻌﻘﻮﻝ اﻧﺎ ﻗﻠﺒﻲ ﺍﺯﺍﻱ ﺑﻘﻰ ﺑﻴﻚ ﻣﺸﻐﻮﻝ ﻭﺑﺴﺮﻋﻪ ﻛﺪﻩ❤",surprise
1952,"لا هو بصراحه خوف دون عمل",fear
1953,"مشهد مؤثر لاب سوري يبكي ابنه الذي استشهد جراء غاره جويّه استهدفت حي  الفردوس بـ ! اما ان لهذا الليل ان ينجلي ؟؟؟",sympathy
1954,"alrsam71 قلوبنا معكم 🌸❤️  العشق الابدي  الشيخ قيس الخزعلي 🌸❤️",sympathy
1955,"حلب حماه سترون الجحيم من اهلها يابهيمه اليهود والمجوس عجز جحشك عنهم انهم سيف من سيوف الله وجنده????مسكين الطم وبقوه????????",anger
1956,"ارحموا من في الارض يرحمكم من في السماء ارفعوا الحظر استيراد الادويه  الاطفال السرطان .😣😣",sympathy
1957,"كنت اسمع بودكاست امريكان عن السله وقاعدين يضحكون علي قطر والبحرين والتجنيس في الاوليمبياد هههههههههههههههه",joy
1958,"يارب انت اللي حاسس بيا انا خايفه 😞🙏🏻",fear
1959,"هيخش الاوليمبياد الجايه و ادي دقني اهي لو خدنا حاجه :D",none
1960,": ما يهون الحزن لو قلنا يهون لو تركنا شوي لحظات ورجع نخفي الاوجاع عن كل العيون واليا طفينا النور نبكي  قروب روح وحده للد…",sadness
1961,"في ماتش ف الاوليمبياد خلص 8 0",surprise
1962,"اللي عندي يحرقون المسلسل علي🚶🏻.",sadness
1963,".. هو ارتياح قلب لـ وجود قلب ❤️",love
1964,"من غير نت يومين معاش عرفت شن صار في الدنياحتي لوالقيامه قامت ماكنتش حنعرف امس/اولامس حطيت علي افتتاح الاوليمبياد حسبته اعاده وهو مباشر",none
1965,"انا افهم التطبيع انك كلاعب رياضي تروح اسرائيل عندهم تلعب ماتش استعراضي وتبوس وتتباس وتتصور وترجع لكن لاعب هتلاعبه ف الاوليمبياد فين المشكله؟",surprise
1966,"افتتاح الاوليمبياد مباشر دلوقتي حالا علي Nile sports و Dubai sports للي عايز يتفرج،",none
1967,"بيحاول يحتفل بالهالوين السنادي. *بيتابع اسعار الدهب والدولار*  رُعب   فزع",fear
1968,"دوله عشان تنظم الاوليمبياد، قتلت اطفال الشوارع بدم بارد (وكانهم حيوانات ضاله) عشان منظر الاطفال هيسيب انطباع سيء عند الزوّار المشجعين  ريو 🤗",sadness
1969,"لا تعتذر! ماعاد ابي منك حاجه قهرتني.. يا جعل ربي يحاسبك ابعد ،، تري قلبي يزيد انزعاجه تكذب عليّ وتبغي اني اجاوبك؟ ،  بوح  ارشيفي",sadness
1970,"المتسبب الاول في عدم وجود نهضه وتطور في شتي قطاعات الدوله هو ؛ ( مجلس المناديب ) ⚠️حيث بدا المنحي في الانحدار  بشكل رسمي وملحوظ ⚠️ كويت",anger
1971,"ليالي قناه الواقع20   علي الهمش  انشوده ايه ياقلبي تكلم بارتياح ماشاءالله مبدع  الله يسعدك",joy
1972,"اللي مصمم يسيّس الاوليمبياد.. هل تعلم ان الرباعين ساره وايهاب تنافسا مع الاسرائيليين ومع ذلك انت تحتفل بانتصارهم؟",none
1973,": اعاهدكم الله ان لانخون دمائكم وتضحياتكم وان لا نقبل الالتفاف عليهاوانتقاصها وان نبقي معكم وان لانحيد عن غايتكم مهماكان ح…",sympathy
1974,"Azim حضرتك شوفتي المسرحيه ؟؟؟؟؟؟؟؟؟؟؟؟  للاسف تدفعو ورا السلفيين اللي شعللو الدنيا .... والحقيقه انهم الحقراء",surprise
1975,"تبقا بطل القاره بتاعتك و في اول ماتش في الاوليمبياد تخسر بفارق 57 نقطه .. مش ممكن علي قله القيمه يعني",sadness
1976,"مش قادر افهم ليه زعلت لما علاء ابو القاسم خرج من الاوليمبياد ؟ ، مش فاهم ليه سلوك الانتماء عندي بتتظبط مع اي حدث رياضي مصر بتبقي فيه ؟",sadness
1977,"كل عام وانتم بخير 2015",joy
1978,"هي حاجه محزنه نوعاً ما فعلاً",sadness
1979,": . ساعد الاخرين اذا استطعت،  اما ان لم تستطع، فلا تؤذهم علي الاقل . دالاي لاما .  الرحمه…",sympathy
1980,"المنيا.. 15 يومًا لـ 19 متهمًا بفتنه     كوم اللوفي",none
1981,"901:       حطو لنا دبلوم تربوي ابرك لنا   تخلونا نتشرد في الرياض ????",anger
1982,"ولو طلعت الثالثه في الاوليمبياد كانت الشبكه برونزيه",none
1983,"tshreen الله يوفقهم وحررون القدس",sympathy
1984,"خايفه اتخرج من هالاشي ✋✋",fear
1985,"هو مفيش رياضه الطاوله في الاوليمبياد ؟",none
1986,"انت وكل  الشوق ياغالي عمري كله هواك 💜",love
1987,"حاله من الاكتئاب و البؤس ..",sadness
1988,"مواعيد الاوليمبياد حلوه جدًا .. بتبدا من بعد الظهر تقريبًا بتوقيت مصر وتخلص علي 12 بالليل",joy
1989,"منت قد الوسط الرياضي روح استقيل",anger
1990,"اول مرهازعل علي حد مااعرفوش سواق كنت بركب معاه كان محترم جدا كان كل ماحد يضايقني يقولي انا هادبهولك كان وشه دايما بيضحك  الله يرحمك يامحمد ????",sympathy
1991,"رحمه الله علي الفنان الكبير محمود عبدالعزيز عظيم من عظماء الفن  محمود عبدالعزيز",sympathy
1992,"وجع يومي ربنا يصبرهم ويربط علي قلوبهم",sympathy
1993,"نشوه الفوز علي الفتح ربما تتسبب للفريق بالتراخي . اهمس لبعض اللاعبين لازال مستواكم هابط وخصوصا خط المقدمه.",anger
1994,"اخيرا ده انا قربت انسي اننا دخلنا الاوليمبياد اساسا",joy
1995,"راقت لي مات فقيرا من الجوع فذبحو كبشا في جنازته ! منافقين !!",surprise
1996,"fopya: و خايف اشوفك عشان ساعتها همشي و اسيبك..",fear
1997,"لو مكنش عندي برد كنت شخرت",anger
1998,"الموت ماهو مخيف الي يخيف الحياه اعلّم اللي يخاف الموت ما خافها الموت مره وتبقي تحت رحمه اله اما الحياه انت بين الن…",fear
1999,"الْحَبُّ يَبْدَاُ بخطا غَيْرَ مَقْصُودِ ، وَيَسْتَمِرُّ باخطاء مُتَعَمِّدَهً",love
2000,": ضحكتك تستحل قلبّي بشكل مش معقُول.",surprise
2001,"يا عمري متعاطفه معاي",sympathy
2002,"العاب القوي مكناتها في الاوليمبياد اعلي من السباحه برده",none
2003,"مسا ءالحب والجمال 😍  مساء  الجمال",love
2004,"n7rer:  تركي العواد يسيء للسعوديات احذروا من الاسقاط علي والده المذكور فليس لها علاقه بسفاهته وتفاهته وسقوطه ام فاضله ربت وتعبت و…",anger
2005,"في دوله في العالم رفعت علمين مع بعض في الاوليمبياد غيرنا مفيش طبعا...ام الدنيا ✌✌",none
2006,"بناء علي فكره بيع الجنسيه المصريه ورفع علم السعوديه في الاوليمبياد ليه ما نعملش مساحه في العلم تبقي sponsered و المعلن يحط فيها للي هو عايزه",none
2007,"مدري ليش السخريه من اصحاب اللحي والملتزمين وكانهم ليسوا منا وكانهم كائنات فضائيه غريبه عنا!هم ليسوا واحدا اونسخه واحده  لا تتزوجي مطوع",sympathy
2008,"7575:   مين اللي عمل لك بلوك يا جاسر وبعدين لاهو الضحك دلؤتي عيب وبيبلك صاحبه ده لو كده ابقي انا المفروض اتحبس اربعين سنه…",anger
2009,"هههههههه انا مبطل من زمااان بس اسمع هنا بيقولوا الافغاني صرف مش متخلط حاجه فخيمه خالص بس بعيد عنك الطرف ب 500 ريال",surprise
2010,"القانون يقول كل عامل له كفيل رح كلم الكفيل يصلح السياره مالي دخل انا كفر ماكسس يمشيك عشر دقايق قبل ماينصلخ تقوم تمشي فيه للبيت ياتيس",anger
2011,"الاوليمبياد بالنسبالي هي كره القدم وكره السله وبعض مباريات اليد خصوصا الادوار الحاسمه زي قبل النهائي والنهائي غير كدا شكليات",none
2012,"ندعي لايمن فايز يا سلاح الشيش يا جماعه، اخوات اصحابنا لازم يطلعوا بدهب من الاوليمبياد :D",joy
2013,"اتندم علي الساعه يلي فتت فيها الجامعه الهاشميه،",sadness
2014,"شكرا يادكتور",joy
2015,"اللهم ازل الغمه عنهم واجبر كسر الامه قالوها ونعيدها: مالنا غيرك يا الله",sympathy
2016,"فجاه الكل بقي يهتم بالميداليات و الاوليمبياد 👀 منورين السوشيال ميديا يا جماعه والله 👏👏",none
2017,"مبروك فك حصار حلب الحمدلله الذي بنعمته تتم الصالحات.. اللهم انصر اهل الشام علي طاغيتهم",joy
2018,"rm70 هتاخد زمنها و زمن غيرها",anger
2019,"تعالي مافيه غيرك يدفي القلب لا شتاق تعالي ياللي مسكنك وسط الضلوع",love
2020,"لاعيبه مصر في الاوليمبياد يعملوا كل حاجه وبييجوا يتعولقوا ف الاخر",anger
2021,"ياسيدي علي الاوليمبياد وسباقات الخيلو و الليلو والبيداءو تعرفوني،،،والخيلو والليلو والزعبوطو    و القلمو!؟",surprise
2022,"kg2 انا خايفه بجد من الناس تقوم علي بعضها وساعتها الكل هيتاخد في الرجلين عاطل مع باطل مش هيفرقوا",fear
2023,"وانتي يا حبيبتي .. انتي كل الحياه &lt;3",joy
2024,"اللهّم رب الداء والدواء لا شفاء الا شفاؤك اشفِ ابي وابسط عليه و اجعل ما اصابه تكفيراً ثم اجراً ثم عافيه..",sympathy
2025,"هيتقيد بس مش هيلعب ماتش زيسكو عشان هيبقي في الاوليمبياد",none
2026,"انا في دوره الاوليمبياد دي كلها مبتفرجش غير علي الافتتاح😂😂",joy
2027,":   بِكل خطوه ، بكل دمعه ، ليتنا كُنا معكُم .. 💔  زوار الاربعين",sympathy
2028,"الله يعن كل فقير كان الله في عونهم",sympathy
2029,"للاسف اتهزقنا زياده كده و بقينا فرجه 👎🏼",sadness
2030,"في حاجات كتير قوي هتتغير فحياتي الفتره الجايه و مش عارفه ده للاحسن ولا للاوحش و بصراحه خايفه جداً",fear
2031,"الفرنسي مبتفرجش غير علي باريس سانجيرمان، عشان لويز وابرا وبس :D",joy
2032,": بالصوره..  «النابالم» الروسي يحرق  داريا السوريه !  اللهم دمر روسيا ومن ايدهم ومن وقف مع الطاغيه بشار",anger
2033,"علي قد ما شايفه ان لازم الناس تنزل 11/11 علي قد ما خايفه ان مصر تتفشخ بعدها",fear
2034,"انا لما مش بلاقي حد اشتغله .. بقعد اشتغل في نفسي و اضحك :D :D",joy
2035,"انسي الاوليمبياد، انتصرنا وربحنا كل شي  طرد الاسراييليين من الحافله",joy
2036,": انتِ لي كل الفرح وانتِ لي اجمل شعور✨❤  رتويت  بوح  خواطر  رومنسي  عشق  حب  حبيبتي  جميل  رائع  صباحيات  ذوق  صباح الخي…",love
2037,"althani: تري حلاه العمر مع من تحبه .. شخصٍ تريده من جميع المخاليق ..  بوح  ابيات",love
2038,"حصل حوار ابن وسخه حالا في الاوليمبياد !!!!!!!!!! التحكيم الفاجر والله",surprise
2039,"خايف انا خايف لو امشيلك سنين!",fear
2040,": نشرت صحيفه ذا هيندو الهنديه تقريراً اتهمت فيه تحالف العدوان الذي تقوده  السعوديه بارتكاب الكثير من الجرائم بحق الشعب اليمني",anger
2041,"بمناسبه الاوليمبياد.. كوت باعظم الرياضيين اللي شفتهم في حياتك 5 ع الاقل يعني",none
2042,"nooriraq: مجلس النواب ذكروني من جنت صغيره من توكف علينا مراقبه ومانقبل نسكت????????نظل نصيح بالصف ونسولف.النواب شنو صغار خوما صغار !!????  العر…",anger
2043,": هل يتوقع من حاصر حلب ان اَهلها سيستلمون ليصيبهم  ما اصاب اخوانهم في العراق من قتل وتهجير وتشريد   ملحمه حلب الكبري",anger
2044,"Mo3gza البقاء لله ي صحبي :((((",sadness
2045,"Ismail ريكو هيخلص  بس هيطول شويه النصيبه لو مرتضي مش مهتم ممكن الاهلي يخده او الاسماعيلي هم عوزينه و الشرطه موفقه لكن ريكو عوز الزمالك",anger
2046,"خايفه علي صغيري يحلم بالصراخ",fear
2047,"لا حول ولا قوه الا بالله محمود عبد العزيز حقيقي من الناس اللي بعشقهم الفلام القديمه دي عشق وافلامه ليها عشق خاااص",sympathy
2048,":  StarAcademyNews احدث اطلاله للنجمه  ابتسام تسكت    IbtissamTiskat",love
2049,"اسوا ما في الصدمات محاوله ... استعابها !.  ليبيا",surprise
2050,"واضح انك لاعب وصخ جيت بشر !!",anger
2051,"هو الاسكواش بقي من العاب الاوليمبياد ولا لسه؟",none
2052,"ضعت انا او حبك اللي ضاع بي في سراب العشق كما عاشق فني لاني اللي فزت بك ولا فزت بي اهتني عش وانا معك مهما صار…",love
2053,": خايف اخسرك واخسر هالشعُور احِبك لكن خايف.",fear
2054,"بخاف ارد علي الكلام دا خايفه اوعدهم موفيش خايفه اقولهم هفضل ومفضلش بقيت خايفه اكتر منهم !",fear
2055,"ودي العب بهالزحليقه بس خايفه م ازرق منها انشب بالنص😖😖😩😩",fear
2056,"نحن كمصرين معك قلباً و ً و في السراء و الضراء فالك الفوز يابرنس",sympathy
2057,"الحُب مو كلمه احبّك ، الحُب احيانًا : فزه قلب من تنبيه ، رساله ، سؤال ، اهتمام ، كلمه حلوه ، دعوه حلوه .",love
2058,"العشره مش هانت دي اتهانت !!",anger
2059,"الاوليمبياد يا حاج 😅",joy
2060,"يارب اجعل والدي ممن يساقوا الي جنان الخلد محاطه بموكب من ملائكه النعيم تغشاها وتملؤها الفرحه بلقياك يا رب💙.",sympathy
